DW_DELL_ACCT_ID,RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,category
2122656496,APJ,Manufacturing,T1,4275,1421420.539,0,Low
3586917462,CSB,Agriculture,T5,20,125374,1,Low
3559607461,CSB,Agriculture,T5,7725,109690,1,Low
1704609345,EMEA,"Business, Engineering & Consumer Services",T3,239,176520,0,Low
2001094003,NAMERICA,"Telecom, Media & Entertainment",T2,80,45000,0,Low
2122692903,APJ,Government,T1,63000,9668446,0,Low
1724002567,LA,Education,T1,300,1318000,0,Low
2122983302,APJ,"Banking, Financial Services & Insurance",T1,9386,2285861.386,1,Low
2542169275,NAMERICA,Government,T5,140,49891.199,0,Low
1703037697,EMEA,"Business, Engineering & Consumer Services",T3,200,65000,0,Low
3032572789,CSB,Retail,T5,8,1010972,0,Low
595682533,NAMERICA,Education,T5,39,25000,1,Low
595720995,NAMERICA,Government,T1,99,2395234.86,1,Low
3388617288,LA,Energy,T3,1891,153166.893,0,Low
3460405495,CSB,Construction & Real Estate,T5,38,16087,1,Low
1706308539,EMEA,"Telecom, Media & Entertainment",T3,130,232892.186,0,Low
1709042420,EMEA,Energy,T2,390,45354,0,Low
3316945200,NAMERICA,"Business, Engineering & Consumer Services",T5,90,127769,0,Low
2122680269,APJ,Government,T1,4836,14888200,1,Low
3319543062,CSB,"Telecom, Media & Entertainment",T5,4,15276,0,Low
3368139232,CSB,"Business, Engineering & Consumer Services",T5,3984,20758,1,Low
3585872311,Greater China,Agriculture,T5,200,189353,1,Low
2443015859,LA,Manufacturing,T5,130,6995214,1,Low
3586396929,EMEA,Manufacturing,T5,11,158473,0,Low
3353915090,CSB,Manufacturing,T5,255,1408549,0,Low
2687004806,LA,Web & Tech,T3,75,64915.029,1,Low
3536278453,CSB,Agriculture,T5,7,129637,1,Low
3405155369,CSB,Transportation,T5,20,31767,1,Low
2003425213,NAMERICA,Manufacturing,T4,250,234100,0,Low
595679422,NAMERICA,Education,T2,6258,353400,0,Low
3456541143,EMEA,"Business, Engineering & Consumer Services",T5,1,8656773,1,Low
2122709819,APJ,Manufacturing,T5,70,91950.78,0,Low
1702648192,EMEA,"Banking, Financial Services & Insurance",T1,190712,7700000,0,Low
3466499905,NAMERICA,Manufacturing,T1,7673,26462,0,Low
595663512,NAMERICA,Education,T1,1086,649150.71,0,Low
2037229248,Greater China,Healthcare & Life Sciences,T1,2000,498273.75,0,Low
3322304430,NAMERICA,Manufacturing,T5,70,107618.001,1,Low
1724069299,LA,Retail,T1,5400,122359,1,Low
3581536395,CSB,Web & Tech,T5,77,185022,1,Low
3346715211,EMEA,Agriculture,T5,9893,48539.99,1,Low
1899052332,LA,Government,T3,1204,50958,0,Low
1724004881,LA,"Telecom, Media & Entertainment",T1,200,2850500,1,Low
2526197504,APJ,Manufacturing,T3,185,46089.315,0,Low
1702864119,EMEA,"Business, Engineering & Consumer Services",T3,217,182900,1,Low
3319358539,EMEA,Manufacturing,T1,856,38484,1,Low
