acct_id,RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,category
1,APJ,Manufacturing,T1,4275,1421420.539,0,Low
2,CSB,Agriculture,T5,20,125374,1,Low
3,CSB,Agriculture,T5,7725,109690,1,Low
4,EMEA,"Business, Engineering & Consumer Services",T3,239,176520,0,Low
5,NAMERICA,"Telecom, Media & Entertainment",T2,80,45000,0,Low
6,APJ,Government,T1,63000,9668446,0,Low
7,LA,Education,T1,300,1318000,0,Low
8,APJ,"Banking, Financial Services & Insurance",T1,9386,2285861.386,1,Low
9,NAMERICA,Government,T5,140,49891.199,0,Low
10,EMEA,"Business, Engineering & Consumer Services",T3,200,65000,0,Low
11,CSB,Retail,T5,8,1010972,0,Low
12,NAMERICA,Education,T5,39,25000,1,Low
13,NAMERICA,Government,T1,99,2395234.86,1,Low
14,LA,Energy,T3,1891,153166.893,0,Low
15,CSB,Construction & Real Estate,T5,38,16087,1,Low
16,EMEA,"Telecom, Media & Entertainment",T3,130,232892.186,0,Low
17,EMEA,Energy,T2,390,45354,0,Low
18,NAMERICA,"Business, Engineering & Consumer Services",T5,90,127769,0,Low
19,APJ,Government,T1,4836,14888200,1,Low
20,CSB,"Telecom, Media & Entertainment",T5,4,15276,0,Low
21,CSB,"Business, Engineering & Consumer Services",T5,3984,20758,1,Low
22,Greater China,Agriculture,T5,200,189353,1,Low
23,LA,Manufacturing,T5,130,6995214,1,Low
24,EMEA,Manufacturing,T5,11,158473,0,Low
25,CSB,Manufacturing,T5,255,1408549,0,Low
26,LA,Web & Tech,T3,75,64915.029,1,Low
27,CSB,Agriculture,T5,7,129637,1,Low
28,CSB,Transportation,T5,20,31767,1,Low
29,NAMERICA,Manufacturing,T4,250,234100,0,Low
30,NAMERICA,Education,T2,6258,353400,0,Low
31,EMEA,"Business, Engineering & Consumer Services",T5,1,8656773,1,Low
32,APJ,Manufacturing,T5,70,91950.78,0,Low
33,EMEA,"Banking, Financial Services & Insurance",T1,190712,7700000,0,Low
34,NAMERICA,Manufacturing,T1,7673,26462,0,Low
35,NAMERICA,Education,T1,1086,649150.71,0,Low
36,Greater China,Healthcare & Life Sciences,T1,2000,498273.75,0,Low
37,NAMERICA,Manufacturing,T5,70,107618.001,1,Low
38,LA,Retail,T1,5400,122359,1,Low
39,CSB,Web & Tech,T5,77,185022,1,Low
40,EMEA,Agriculture,T5,9893,48539.99,1,Low
41,LA,Government,T3,1204,50958,0,Low
42,LA,"Telecom, Media & Entertainment",T1,200,2850500,1,Low
43,APJ,Manufacturing,T3,185,46089.315,0,Low
44,EMEA,"Business, Engineering & Consumer Services",T3,217,182900,1,Low
45,EMEA,Manufacturing,T1,856,38484,1,Low
46,Greater China,Manufacturing,T3,300,142049,0,Low
47,APJ,"Business, Engineering & Consumer Services",T2,6000,370000,0,Low
48,LA,Manufacturing,T1,300,1002700,0,Low
49,EMEA,Retail,T5,110,43233.091,0,Low
50,CSB,Agriculture,T5,1,42287,0,Low
51,LA,Manufacturing,T1,700,320200,1,Low
52,EMEA,Transportation,T1,1491,988150.61,1,Low
53,APJ,"Business, Engineering & Consumer Services",T3,168,176566.994,1,Low
54,EMEA,Agriculture,T5,100,134226,0,Low
55,EMEA,Manufacturing,T1,4500,2802400,1,Low
56,NAMERICA,Energy,T1,200,7551371.78,1,Low
57,EMEA,Healthcare & Life Sciences,T3,4126,153000,0,Low
58,CSB,"Banking, Financial Services & Insurance",T5,14,129011,1,Low
59,NAMERICA,Web & Tech,T5,110,72104,0,Low
60,NAMERICA,Education,T5,175,87368.96,1,Low
61,NAMERICA,"Business, Engineering & Consumer Services",T3,16,59473.574,1,Low
62,NAMERICA,Manufacturing,T5,20,16243.528,0,Low
63,CSB,Transportation,T5,1,173459,0,Low
64,CSB,Agriculture,T5,21,170474,1,Low
65,EMEA,"Business, Engineering & Consumer Services",T1,825,873856.544,1,Low
66,NAMERICA,"Business, Engineering & Consumer Services",T4,771,139821.98,0,Low
67,NAMERICA,"Telecom, Media & Entertainment",T5,5,56004.801,1,Low
68,APJ,Retail,T3,7772,408316,1,Low
69,EMEA,Agriculture,T5,2097,4343290,1,Low
70,LA,Manufacturing,T3,150,222200,0,Low
71,CSB,Retail,T5,1,47188,0,Low
72,APJ,Education,T5,20,7288694,0,Low
73,APJ,Retail,T3,888,25884.798,0,Low
74,CSB,Agriculture,T5,7,106067,1,Low
75,Greater China,Retail,T2,500,46236,1,Low
76,APJ,"Banking, Financial Services & Insurance",T2,31443,5300000,1,Low
77,LA,Manufacturing,T3,550,50600,0,Low
78,Greater China,"Business, Engineering & Consumer Services",T1,300,1384722,1,Low
79,CSB,Retail,T5,20,49912,1,Low
80,EMEA,"Business, Engineering & Consumer Services",T5,9950,47897,1,Low
81,CSB,Transportation,T5,40,68880,1,Low
82,EMEA,Agriculture,T3,250,363373.45,1,Low
83,EMEA,Agriculture,T3,2,36600,0,Low
84,EMEA,Manufacturing,T3,136,157435.95,1,Low
85,EMEA,Retail,T1,528,825000,1,Low
86,NAMERICA,Education,T5,103,17661.999,0,Low
87,EMEA,Agriculture,T5,973,104108,1,Low
88,NAMERICA,Education,T2,2300,808422.276,1,Low
89,LA,"Telecom, Media & Entertainment",T3,4733,1010000,0,Low
90,NAMERICA,"Banking, Financial Services & Insurance",T1,875,2339300,1,Low
91,EMEA,Agriculture,T1,254,4063348,1,Low
92,EMEA,Education,T3,9134,23697.02,0,Low
93,EMEA,"Business, Engineering & Consumer Services",T5,110,80000,1,Low
94,APJ,"Business, Engineering & Consumer Services",T3,140,102158,0,Low
95,CSB,Agriculture,T5,7,467353,1,Low
96,NAMERICA,Government,T1,26374,7338700,1,Low
97,LA,Education,T3,200,28582.075,0,Low
98,EMEA,Agriculture,T5,22,192110,1,Low
99,CSB,"Business, Engineering & Consumer Services",T5,16,14525,0,Low
100,EMEA,Retail,T3,3685,71971.502,1,Low
101,EMEA,"Business, Engineering & Consumer Services",T1,1500,6352741.391,1,Low
102,NAMERICA,Education,T4,44,114108.6,0,Low
103,NAMERICA,Agriculture,T2,8,33602.531,0,Low
104,NAMERICA,Manufacturing,T3,125,281740,0,Low
105,EMEA,Education,T5,1,35593.923,1,Low
106,APJ,"Business, Engineering & Consumer Services",T3,120,102840.54,0,Low
107,NAMERICA,"Business, Engineering & Consumer Services",T5,5,111264,0,Low
108,NAMERICA,Government,T1,75,1219447.29,0,Low
109,APJ,"Telecom, Media & Entertainment",T1,3000,768000,0,Low
110,NAMERICA,Construction & Real Estate,T5,150,103832.726,0,Low
111,CSB,Manufacturing,T5,29,4628658,1,Low
112,EMEA,"Business, Engineering & Consumer Services",T1,1278,1050000,0,Low
113,NAMERICA,Healthcare & Life Sciences,T1,6,1380153.648,1,Low
114,CSB,Manufacturing,T5,35,172292,0,Low
115,EMEA,Government,T1,3000,32119,1,Low
116,NAMERICA,"Business, Engineering & Consumer Services",T3,82,431384,1,Low
117,EMEA,"Banking, Financial Services & Insurance",T1,5052,93920,1,Low
118,NAMERICA,Government,T1,1200,491700.001,0,Low
119,EMEA,Agriculture,T3,3283,220742,1,Low
120,CSB,Transportation,T5,21,6387707,0,Low
121,CSB,"Business, Engineering & Consumer Services",T5,50,184621,1,Low
122,APJ,Retail,T5,50,57669,0,Low
123,APJ,Web & Tech,T2,85,211900,1,Low
124,EMEA,"Banking, Financial Services & Insurance",T1,400,895963.786,0,Low
125,NAMERICA,"Business, Engineering & Consumer Services",T5,209,41651.668,0,Low
126,EMEA,Retail,T2,7,260000,0,Low
127,EMEA,Manufacturing,T1,2770,1300600,1,Low
128,LA,"Business, Engineering & Consumer Services",T1,7450,72556,0,Low
129,CSB,Agriculture,T5,20,161241,1,Low
130,APJ,Manufacturing,T5,244,172200,1,Low
131,CSB,"Banking, Financial Services & Insurance",T5,52,3594829,1,Low
132,EMEA,Manufacturing,T3,615,364652.465,1,Low
133,Greater China,Manufacturing,T3,100,92310,1,Low
134,APJ,Agriculture,T5,133,198000,0,Low
135,APJ,Retail,T3,8,26175.913,0,Low
136,CSB,Web & Tech,T5,1736,1828083,1,Low
137,CSB,Manufacturing,T5,66,13864,0,Low
138,CSB,Retail,T5,40,188028,1,Low
139,NAMERICA,"Telecom, Media & Entertainment",T5,34,20565.829,1,Low
140,CSB,"Business, Engineering & Consumer Services",T5,35,167828,0,Low
141,LA,"Banking, Financial Services & Insurance",T1,11354,70971,0,Low
142,NAMERICA,Government,T1,9231,1926600,0,Low
143,CSB,Healthcare & Life Sciences,T5,17,64173,1,Low
144,EMEA,"Banking, Financial Services & Insurance",T2,15,850000,0,Low
145,APJ,"Banking, Financial Services & Insurance",T1,2000,3150784.547,0,Low
146,LA,Government,T1,750,404192.756,0,Low
147,EMEA,Manufacturing,T1,230,1896231.45,0,Low
148,Greater China,Manufacturing,T1,100,859341,0,Low
149,EMEA,Manufacturing,T3,100,403406.86,1,Low
150,NAMERICA,Education,T1,50,1032948.305,0,Low
151,NAMERICA,"Business, Engineering & Consumer Services",T5,103,79159.265,1,Low
152,NAMERICA,"Banking, Financial Services & Insurance",T5,32,71067.325,1,Low
153,NAMERICA,Retail,T1,788,859300,1,Low
154,NAMERICA,Healthcare & Life Sciences,T4,95,122558.021,1,Low
155,CSB,Retail,T5,2,14586,1,Low
156,APJ,Healthcare & Life Sciences,T3,200,570379,1,Low
157,Greater China,"Business, Engineering & Consumer Services",T2,1084,55100,0,Low
158,Greater China,Manufacturing,T1,1647,1224206,0,Low
159,NAMERICA,Education,T5,54,58102,1,Low
160,CSB,Agriculture,T5,4,46185,1,Low
161,EMEA,Agriculture,T3,500,63000,0,Low
162,APJ,Manufacturing,T2,1035,216694.539,0,Low
163,NAMERICA,"Business, Engineering & Consumer Services",T1,17,681772.5,1,Low
164,Greater China,Manufacturing,T2,300,52669,0,Low
