RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,clutser
NAMERICA,Manufacturing,T4,250,234100,0,0
APJ,"Business, Engineering & Consumer Services",T2,6000,370000,0,0
CSB,Manufacturing,T5,35,172292,0,0
EMEA,"Banking, Financial Services & Insurance",T1,109,139987,1,0
CSB,Manufacturing,T3,220,3723077,0,0
APJ,Web & Tech,T1,219,113000,0,0
APJ,"Telecom, Media & Entertainment",T5,4,7445344,1,0
NAMERICA,Retail,T2,1252,174104.26,1,0
APJ,Education,T1,1850,205500,1,0
EMEA,"Business, Engineering & Consumer Services",T1,2228,198279,0,0
LA,Government,T3,400,1413000,0,0
NAMERICA,Construction & Real Estate,T2,25,22044.816,0,0
EMEA,"Business, Engineering & Consumer Services",T3,597,295544.755,1,0
NAMERICA,Government,T5,616,337974,0,0
NAMERICA,Government,T1,225,218603.632,0,0
Greater China,Education,T5,2000,111538,1,0
EMEA,Manufacturing,T1,20000,24207800,1,0
APJ,Energy,T1,41732,38707151.07,0,0
Greater China,Manufacturing,T1,200,886141,0,0
NAMERICA,"Business, Engineering & Consumer Services",T4,150,129928,1,0
CSB,Agriculture,T5,7,186704,0,0
NAMERICA,"Banking, Financial Services & Insurance",T2,27826,35407800,1,0
APJ,Government,T2,7306,10663,0,0
EMEA,"Telecom, Media & Entertainment",T1,6032,161029,1,0
LA,Web & Tech,T3,2157,191094,1,0
CSB,Agriculture,T5,65218,36516,1,0
APJ,Education,T3,147,100000,1,0
Greater China,Education,T1,500,3055073,0,0
NAMERICA,Energy,T2,128,41926.346,0,0
EMEA,Education,T1,4485,5500000,1,0
EMEA,Manufacturing,T1,3678,6267653,1,0
CSB,Web & Tech,T5,35,60447,0,0
APJ,Retail,T5,185,36440.493,1,0
CSB,Healthcare & Life Sciences,T5,60,191379,0,0
Greater China,Education,T1,100,66222,0,0
NAMERICA,Construction & Real Estate,T5,325,43779.57,1,0
CSB,Agriculture,T5,3,154227,0,0
EMEA,Education,T5,20,40800,1,0
EMEA,Construction & Real Estate,T2,6354,3800000,0,0
CSB,"Telecom, Media & Entertainment",T5,20,42699.513,1,0
NAMERICA,Government,T4,204,192715.001,0,0
NAMERICA,Healthcare & Life Sciences,T3,140,1110819,0,0
EMEA,"Banking, Financial Services & Insurance",T2,109,4100000,1,0
NAMERICA,Retail,T3,110,145945.659,1,0
LA,Agriculture,T5,300,6321430,1,0
NAMERICA,"Business, Engineering & Consumer Services",T5,5,113319,1,0
EMEA,"Business, Engineering & Consumer Services",T5,80,36595.574,0,0
APJ,Manufacturing,T1,1995,1859325.59,1,0
EMEA,Retail,T3,327,32202.83,0,0
APJ,Agriculture,T5,42,705775,1,0
APJ,Manufacturing,T1,2911,1034378.536,1,0
LA,Government,T2,11840,1092796.781,1,0
EMEA,Education,T1,4245,31523,0,0
NAMERICA,Construction & Real Estate,T1,2500,1692037.94,0,0
APJ,Agriculture,T1,240,49459,1,0
LA,Manufacturing,T5,100,6046137,1,0
EMEA,Web & Tech,T3,85,154282.05,1,0
EMEA,Agriculture,T1,300,458600,1,0
Greater China,"Banking, Financial Services & Insurance",T1,1561,1126277,1,0
Greater China,Manufacturing,T2,109,7561515,0,0
APJ,Retail,T3,33,42860.982,1,0
CSB,Agriculture,T5,1,177532,1,0
